,s1_image,s2_image,s3_image,action1,action2
500,trident.png,bell.png,tophat.png,1,8
501,trident.png,tree.png,snorkel.png,1,8
502,trident.png,bell.png,tophat.png,1,8
503,trident.png,bell.png,tophat.png,1,8
504,trident.png,fox.png,apple.png,1,8
505,planet.png,bell.png,train.png,9,2
506,planet.png,bell.png,train.png,9,2
507,trident.png,fox.png,apple.png,1,8
508,trident.png,bell.png,train.png,1,2
509,trident.png,tree.png,north.png,1,2
510,planet.png,tree.png,north.png,9,2
511,planet.png,bell.png,tophat.png,9,8
512,trident.png,fox.png,apple.png,1,8
513,planet.png,bell.png,train.png,9,2
514,trident.png,fox.png,hammer.png,1,2
515,trident.png,bell.png,train.png,1,2
516,planet.png,tree.png,north.png,9,2
517,trident.png,fox.png,apple.png,1,8
518,trident.png,bell.png,train.png,1,2
519,trident.png,fox.png,hammer.png,1,2
